Code,Types,BGD_EU,CHN_EU,VNM_EU,CAM_EU,TUR_EU,IND_EU,BGD_US,CHN_US,VNM_US,CAM_US,TUR_US,IND_US,BGD_UK,CHN_UK,VNM_UK,CAM_UK,TUR_UK,IND_UK
'620342,Cotton,36.53157842,13.58061621,5.524538837,6.668102503,2.337620899,2.107807359,30.34845919,9.220723724,8.554162778,2.135979326,0.95131592,2.857038694,29.70283595,4.197579659,0.755317415,1.207236574,4.524733111,2.223086953
'620412,Cotton,0.419947507,51.28608924,0.524934383,0,1.102362205,17.42782152,9.838807786,50.14446472,17.35857664,5.968673966,0.935218978,5.459245742,2.958218969,26.66971638,0.953034462,0.007624276,9.576090271,10.12503812
'620422,Cotton,0.122136864,2.910043544,0.012390696,0.106205969,0.072574079,0.47615676,0.020237999,53.93831458,2.307131871,0,0.0080952,0.53023557,2.227071792,26.01421297,3.172737955,0.671478932,5.338257512,14.63824073
'620432,Cotton,15.5981078,30.03874994,2.901212823,0.71460923,4.247395702,1.099592371,6.115455584,31.88145656,14.28822474,0.352718189,1.810452676,2.961493885,17.18395228,18.98795895,1.565002079,1.377144469,10.56448105,2.28201586
'620442,Cotton,11.57419009,26.735394,4.502130086,1.730857306,3.210252067,23.90622435,3.719330224,28.25812789,9.77213671,0.729909039,1.601048321,33.70250511,7.309670037,11.85961595,0.730711461,1.143555627,6.612889029,22.31062123
'620452,Cotton,26.2858534,32.34773371,4.802584986,6.581975921,3.078523371,5.541784703,15.75020204,34.63088027,11.79874853,2.336704728,2.486137006,13.38389092,22.43711312,15.29455405,1.358588552,2.28131593,9.6775091,8.687084135
'620462,Cotton,30.92111699,26.15746637,7.003274123,9.740141276,4.479070731,1.327980752,19.64670465,24.5089381,17.5163109,5.445444422,2.394702103,2.252126248,33.69412883,6.799533825,0.774181253,2.784413029,14.95995525,2.596778637
'620520,Cotton,30.20577938,18.01283355,6.570771905,3.212849256,3.595785912,7.247959515,25.44713818,11.33630089,15.16485023,0.755776892,1.270420014,10.63212754,27.85073913,5.514885905,3.59601047,3.497020541,4.46333143,10.30471329
'620630,Cotton,18.71923048,21.14238106,4.316118631,3.810281213,2.225143636,18.31997057,7.274883411,15.7145615,10.76548124,0.993200262,0.917476221,33.51985442,8.153286722,8.678216331,0.770112364,0.371917782,5.094060837,26.12540502
'620711,Cotton,31.49644162,10.46355068,31.96287748,1.053087132,0.158684362,7.698595884,8.721711422,8.346574846,58.412616,0.987336644,0.045358719,4.858803157,4.647624568,11.51129304,0.202858126,0.104145913,1.660900907,7.982105015
'620721,Cotton,35.58495822,17.62833267,1.740947075,15.47950657,0.029844807,15.23079984,10.11707763,31.06123136,17.89180136,7.660931653,0.133024545,12.45061664,13.91192778,22.93910095,11.08692664,0.506346515,2.87311552,16.6452825
'620791,Cotton,19.58769549,15.56804963,1.421739692,8.194390591,5.305674034,6.01654388,20.73549129,27.44684926,3.723424631,1.063014748,7.590499904,22.67908447,1.880527541,22.58494957,2.650116369,0.117920869,20.54926299,4.254460822
'620821,Cotton,12.11886527,26.18248573,2.805266328,28.55749649,0.154892006,17.53434874,4.245620765,25.95735839,22.62754124,6.474555683,0.607019563,14.58221455,8.606753927,18.98913336,0.966183575,1.560398171,4.366541507,43.16945643
